OriginZip,DestinationZip,num_orders,count_orders,max_orders,avg_volume,max_volume,min_volume
2072,5905,1,1,1,80.0,80.0,80.0
2072,7607,2,1,2,176.0,176.0,176.0
2072,8080,1,1,1,2304.0,2304.0,2304.0
2072,9861,1,1,1,240.0,240.0,240.0
2072,13634,1,1,1,150.0,150.0,150.0
2072,16155,1,1,1,108.0,108.0,108.0
2072,17505,1,1,1,264.0,264.0,264.0
2072,18073,1,1,1,264.0,264.0,264.0
2072,18225,1,1,1,1040.0,1040.0,1040.0
2072,19395,1,1,1,300.0,300.0,300.0
2072,20711,1,1,1,540.0,540.0,540.0
2072,21863,1,1,1,264.0,264.0,264.0
2072,23323,2,1,2,264.0,264.0,264.0
2072,27816,1,1,1,680.0,680.0,680.0
2072,32961,1,1,1,108.0,108.0,108.0
2072,34471,1,1,1,60.0,60.0,60.0
2072,37012,2,1,2,1040.0,1040.0,1040.0
2072,42782,1,1,1,108.0,108.0,108.0
2072,43901,1,1,1,660.0,660.0,660.0
2072,44273,1,1,1,238.0,238.0,238.0
2072,45385,1,1,1,108.0,108.0,108.0
2072,55981,2,1,2,264.0,264.0,264.0
2072,57794,1,1,1,300.0,300.0,300.0
2072,60621,1,1,1,1728.0,1728.0,1728.0
2072,62644,1,1,1,300.0,300.0,300.0
2072,73628,1,1,1,80.0,80.0,80.0
2072,77550,4,1,4,60.0,60.0,60.0
2072,82301,2,1,2,264.0,264.0,264.0
2072,84657,1,1,1,240.0,240.0,240.0
2072,87410,2,1,2,108.0,108.0,108.0
2072,87832,1,1,1,176.0,176.0,176.0
2072,99026,1,1,1,210.0,210.0,210.0
2072,99830,1,1,1,240.0,240.0,240.0
4041,19041,1,1,1,300.0,300.0,300.0
4041,27014,1,1,1,648.0,648.0,648.0
4041,27846,1,1,1,1040.0,1040.0,1040.0
4041,51535,1,1,1,1040.0,1040.0,1040.0
4041,55092,1,1,1,1547.0,1547.0,1547.0
4041,55431,1,1,1,1040.0,1040.0,1040.0
4041,68106,1,1,1,60.0,60.0,60.0
4041,74951,1,1,1,540.0,540.0,540.0
4041,92867,1,1,1,238.0,238.0,238.0
4041,97601,1,1,1,108.0,108.0,108.0
5775,24030,1,1,1,384.0,384.0,384.0
5775,87749,1,1,1,162.0,162.0,162.0
5775,99356,1,1,1,384.0,384.0,384.0
10163,6853,1,1,1,108.0,108.0,108.0
10163,22572,1,1,1,240.0,240.0,240.0
